City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hilo,US,87.8,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
5,Mount Isa,AU,87.8,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
11,Sawakin,SD,80.46,clear sky,19.11,37.33,فندق الدويم
19,Ipora,BR,75.54,scattered clouds,-16.44,-51.12,Oásis Motel
28,Manicore,BR,77.72,scattered clouds,-5.81,-61.3,Pousada da wanda
29,Kalmunai,LK,75.72,broken clouds,7.42,81.82,VS Villa
31,Avarua,CK,77.0,scattered clouds,-21.21,-159.78,Paradise Inn
32,Atuona,PF,78.49,clear sky,-9.8,-139.03,Villa Enata
37,Almeirim,BR,84.65,scattered clouds,-1.52,-52.58,Ricácio Hotel
38,Luba,GQ,77.0,few clouds,3.46,8.55,
40,Hithadhoo,MV,83.46,overcast clouds,-0.6,73.08,Scoop Guest House
45,Byron Bay,AU,78.01,broken clouds,-28.65,153.62,Backpackers Inn on the Beach
48,Santo Antonio Do Ica,BR,75.25,light rain,-3.1,-67.94,Hotel Fogaça
58,Yeppoon,AU,77.0,broken clouds,-23.13,150.73,Villa Mar Colina
59,Kieta,PG,87.1,broken clouds,-6.22,155.63,
60,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
63,Cayenne,GF,80.6,clear sky,4.93,-52.33,Hôtel Le Dronmi
64,Boyolangu,ID,78.01,overcast clouds,-8.12,111.89,Yos ega cv
67,Kapaa,US,86.0,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
69,Alyangula,AU,82.4,scattered clouds,-13.85,136.42,Groote Eylandt Lodge
73,Nouakchott,MR,84.2,broken clouds,18.09,-15.98,Hôtel Iman
75,Salinopolis,BR,80.44,scattered clouds,-0.61,-47.36,Hotel Salinópolis
77,Rapar,IN,84.34,overcast clouds,23.57,70.63,Dharamshi Bapa’s Home
95,Butaritari,KI,81.72,clear sky,3.07,172.79,Isles Sunset Lodge
98,Marsh Harbour,BS,81.18,overcast clouds,26.54,-77.06,Abaco Beach Resort
104,Bubaque,GW,82.56,overcast clouds,11.28,-15.83,Casa Dora - Mango Lodge
105,Cockburn Town,TC,83.88,few clouds,21.46,-71.14,Osprey Beach Hotel
111,Maragogi,BR,75.16,scattered clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
112,Hambantota,LK,78.17,scattered clouds,6.12,81.12,Bungalow 63
116,Nhulunbuy,AU,84.2,broken clouds,-12.23,136.77,East Arnhem Real Estate
117,Sulangan,PH,83.37,overcast clouds,11.14,123.72,Maia's Beach Resort
119,Natal,BR,77.0,few clouds,-5.79,-35.21,Villa Park Hotel | Natal
122,Padang,ID,78.69,light rain,-0.95,100.35,Mercure Padang
124,Manaure,CO,84.97,clear sky,11.78,-72.44,Del mar vendra
127,Jalu,LY,79.81,clear sky,29.03,21.55,Jalu Hotel
130,Murud,IN,75.94,clear sky,18.33,72.97,On Point Plaza
131,Victoria,HK,77.0,broken clouds,22.29,114.16,Mini Hotel Central
134,Bandarbeyla,SO,79.7,light rain,9.49,50.81,REER XOOSHLE GROUP
138,Aswan,EG,80.83,clear sky,24.09,32.91,Nuba Nile
144,Oum Hadjer,TD,84.76,clear sky,13.3,19.7,
146,Santa Rosa,PH,81.0,moderate rain,14.31,121.11,Erlyn’s Sta Rosa City Home
148,Cabo San Lucas,MX,88.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
154,Bengkulu,ID,76.12,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
155,Khetia,IN,78.42,overcast clouds,21.67,74.58,Mauli Tea Stall
156,Pedasi,PA,80.46,light rain,7.53,-80.03,Selina Pedasi
159,Malayal,PH,77.0,broken clouds,7.21,121.94,
169,Faanui,PF,79.36,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
172,Kavaratti,IN,81.37,light rain,10.57,72.64,Hotels in Lakshadweep Islands
175,Touros,BR,77.0,few clouds,-5.2,-35.46,INN NEW HORIZON
179,Sena Madureira,BR,79.07,broken clouds,-9.07,-68.66,Hotel Suzani
181,Anloga,GH,77.0,few clouds,5.79,0.9,Pin Drop Hotel
186,Yulara,AU,80.6,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
192,Sai Buri,TH,79.18,overcast clouds,6.7,101.62,ร้าน​ เวดดิ้ง
194,Luanda,AO,77.0,broken clouds,-8.84,13.23,EPIC SANA Luanda
198,Alofi,NU,78.8,light rain,-19.06,-169.92,Taloa Heights
199,Lorengau,PG,84.65,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
205,Kampot,KH,80.6,scattered clouds,10.62,104.18,Champa Lodge
207,Sorong,ID,77.76,light rain,-0.88,131.25,The Waigo Hotel
213,Bontang,ID,80.42,overcast clouds,0.13,117.5,Okra Leaf Guest House Syariah
215,Mahajanga,MG,80.6,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
216,Guerrero Negro,MX,78.6,broken clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
220,Kirakira,SB,85.01,light rain,-10.45,161.92,SanBiz Lodge
226,Sola,VU,79.36,clear sky,-13.88,167.55,Leumerus Bungalows
228,Presidencia Roque Saenz Pena,AR,76.98,overcast clouds,-26.79,-60.44,Hotel Aconcagua
229,Lompoc,US,82.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
230,North Bend,US,75.0,clear sky,43.41,-124.22,Red Lion Hotel Coos Bay
231,Saint George,US,82.99,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
232,Lazaro Cardenas,MX,83.21,scattered clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
236,Colon,PA,82.4,few clouds,9.36,-79.9,Sand Diamond Hotel
237,Martapura,ID,78.8,scattered clouds,-3.42,114.85,Montana Hotel Syariah
242,Catuday,PH,79.92,broken clouds,16.29,119.81,GResort
246,Harper,LR,77.47,overcast clouds,4.38,-7.72,Screensaver
248,Atar,MR,88.25,clear sky,20.52,-13.05,Oumou Elghoura
256,Bathsheba,BB,80.6,shower rain,13.22,-59.52,Atlantis Hotel
265,Mayumba,GA,76.44,overcast clouds,-3.43,10.66,LIKWALE LODGE
269,Kavieng,PG,84.13,overcast clouds,-2.57,150.8,Nusa Island Retreat
271,Isangel,VU,82.4,few clouds,-19.55,169.27,Volcano Sea View Tree House
272,Mitsamiouli,KM,77.54,clear sky,-11.38,43.28,Foyer ADM
277,Phan Thiet,VN,76.26,overcast clouds,10.93,108.1,Hotel Saigon-PT
281,Immokalee,US,75.2,overcast clouds,26.42,-81.42,Seminole Casino Hotel Immokalee
282,Dingle,PH,81.14,broken clouds,11.0,122.67,Camp Pasica
289,Sao Felix Do Xingu,BR,83.48,broken clouds,-6.64,-51.99,Apart Hotel Rio Xingu
290,Rock Sound,BS,83.34,overcast clouds,24.9,-76.2,Rock Sound Club
293,Nabire,ID,83.07,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
299,Nouadhibou,MR,78.8,clear sky,20.93,-17.03,El Medina
301,Celestun,MX,80.51,clear sky,20.87,-90.4,Posada Lilia
302,Thinadhoo,MV,82.69,light rain,0.53,72.93,
306,Marawi,PH,81.0,overcast clouds,8.0,124.29,Derogongan Residence
309,Itarema,BR,78.64,clear sky,-2.92,-39.92,Windvillage
313,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
314,Monrovia,LR,78.21,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
316,Ouahigouya,BF,86.65,few clouds,13.58,-2.42,Hotel Liberte
334,Puerto Escondido,MX,82.65,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
336,Soyo,AO,76.89,overcast clouds,-6.13,12.37,Hotel Mpampa
339,Fuerte,PH,81.64,few clouds,17.54,120.36,Giordion Inn
341,Gaoua,BF,77.05,broken clouds,10.3,-3.25,
344,Garowe,SO,76.59,light rain,8.41,48.48,Curubo Hotel
347,Matara,LK,77.32,scattered clouds,5.95,80.54,Amaloh Boutique Resort
348,Pouembout,NC,78.1,few clouds,-21.13,164.9,Camping de Tipenga
351,Sao Gabriel Da Cachoeira,BR,80.53,broken clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
353,Port Macquarie,AU,80.01,scattered clouds,-31.43,152.92,Rydges Port Macquarie
361,Taoudenni,ML,86.02,clear sky,22.68,-3.98,
363,Vanimo,PG,79.34,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
365,Makakilo City,US,86.0,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
379,La Palma,US,90.0,clear sky,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
383,Anito,PH,84.25,overcast clouds,12.45,125.29,The Yellow House
392,Pocone,BR,78.76,light rain,-16.26,-56.62,Hotel e Churrascaria Pantaneira
395,Medina,SA,82.4,clear sky,24.47,39.61,Anwar Al Madinah Mövenpick Hotel
396,Puerto El Triunfo,SV,78.8,overcast clouds,13.28,-88.55,Hotel Jardin
398,Semaria,IN,76.62,clear sky,24.31,79.97,mishra Tea Pan
399,Gopalpur,IN,78.75,scattered clouds,19.27,84.92,Swosti Palm Resort
405,Buchanan,LR,77.32,overcast clouds,5.88,-10.05,Kamaneahn Hotel Inc
406,Abidjan,CI,78.8,few clouds,5.31,-4.02,ibis Abidjan Plateau
407,Ixtapa,MX,89.01,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
409,Pizarro,CO,78.26,moderate rain,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
410,San Lorenzo,PY,84.2,overcast clouds,-25.33,-57.53,Ámbar Hotel
415,Hilton Head Island,US,78.8,clear sky,32.22,-80.75,Hampton Inn Hilton Head
429,Cururupu,BR,76.53,broken clouds,-1.83,-44.87,Pousada Través'cia
431,Port-Gentil,GA,78.8,broken clouds,-0.72,8.78,Fengshui Residence
438,Tucupita,VE,77.99,scattered clouds,9.06,-62.05,Hotel Tucupita Su​ite C.A.
444,Banda Aceh,ID,81.3,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
447,Sampit,ID,76.51,heavy intensity rain,-2.53,112.95,Aquarius Boutique Hotel Sampit
448,Dwarka,IN,86.43,light rain,22.24,68.97,Hotel Narayan Avezika Comfort
450,Champerico,GT,77.0,thunderstorm,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
455,Soe,ID,81.82,clear sky,-9.86,124.28,Dena Hotel
458,Manama,BH,80.6,clear sky,26.22,50.58,Al Safir Hotel & Tower
464,Cartagena,CO,84.2,few clouds,10.4,-75.51,Costa Del Sol
474,Tomatlan,MX,83.3,broken clouds,19.93,-105.25,Norma franco
480,Gallup,US,77.0,clear sky,35.53,-108.74,El Capitan Motel
483,San Matias,BO,83.12,scattered clouds,-16.37,-58.4,"HOTEL ""SAN JOSE"""
484,Sao Filipe,CV,80.28,overcast clouds,14.9,-24.5,Tortuga B&B
487,San Cristobal,VE,87.8,scattered clouds,7.77,-72.22,Pirineos
489,Sur,OM,79.11,clear sky,22.57,59.53,Sur Plaza Hotel
490,Kathu,TH,79.0,heavy intensity rain,7.92,98.33,Novotel Phuket Resort
494,Manokwari,ID,81.1,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
496,Male,MV,84.2,broken clouds,4.17,73.51,Hotel Octave Maldives
500,Tierralta,CO,78.35,moderate rain,8.17,-76.06,montevideo
504,Port Hedland,AU,80.6,clear sky,-20.32,118.57,The Esplanade Hotel
510,Rockhampton,AU,77.0,broken clouds,-23.38,150.5,Mercure Rockhampton
513,Atambua,ID,84.65,clear sky,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
518,Waingapu,ID,82.81,broken clouds,-9.66,120.26,Pondok Wisata Elim
529,Forbes,AU,79.0,overcast clouds,-33.38,148.02,Lake Forbes Motel
530,Sinnamary,GF,79.86,few clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
532,Alice Town,BS,81.75,heavy intensity rain,25.72,-79.3,Bimini Big Game Club Resort & Marina
533,Lodwar,KE,85.24,scattered clouds,3.12,35.6,Turkwel Lodge
537,Sawtell,AU,77.0,scattered clouds,-30.38,153.1,Boambee Waters Caravan Park
538,Jackson,US,81.0,clear sky,42.42,-122.83,Agate Village Apartments
539,Koutiala,ML,81.82,scattered clouds,12.39,-5.46,Hotel Campement Poule Verte
542,Siguiri,GN,76.08,overcast clouds,11.67,-9.5,
544,Panalingaan,PH,79.36,heavy intensity rain,8.78,117.42,
548,Keti Bandar,PK,83.86,few clouds,24.14,67.45,Haji laloo memon house
549,Santa,PH,81.12,few clouds,17.49,120.43,The Mansion
552,The Valley,AI,82.4,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
554,Namatanai,PG,85.08,overcast clouds,-3.67,152.43,Namatanai Hotel
559,Edd,ER,83.55,clear sky,13.93,41.69,
560,Santiago Del Estero,AR,82.67,overcast clouds,-27.8,-64.26,Hotel Urbano
561,Damaturu,NG,84.15,broken clouds,11.75,11.96,Summit Conference Centre
568,Katobu,ID,84.4,overcast clouds,-4.94,122.53,La Ode Husein
570,Limon,CR,81.73,clear sky,10.0,-83.03,Hotel Playa Bonita
572,Manga,BF,81.86,broken clouds,11.66,-1.07,Auberge Somkieta
577,Kismayo,SO,78.67,clear sky,-0.36,42.55,Agan-Hotel
580,Mucurapo,TT,82.4,few clouds,10.67,-61.53,Courtyard by Marriott Port of Spain
581,Bodden Town,KY,84.0,few clouds,19.28,-81.25,Will T Place
582,Omboue,GA,75.4,overcast clouds,-1.57,9.26,Hotel Olako
584,Kodinar,IN,81.55,overcast clouds,20.79,70.7,"Hotel Krishna Park, Kodinar"
589,Viedma,AR,77.0,clear sky,-40.81,-63.0,Hotel Cristal
592,San Juan,AR,76.21,scattered clouds,-31.54,-68.54,Hotel Provincial
601,Newport Beach,US,87.01,few clouds,33.62,-117.93,Holiday Inn Express Newport Beach
609,Bairiki,KI,86.0,few clouds,1.33,172.98,Tarawa Boutique Hotel
611,Galesong,ID,78.8,few clouds,-5.32,119.37,Sapriadi Appy
613,Acarau,BR,78.37,clear sky,-2.89,-40.12,castelo pizzaria
618,Auki,SB,86.54,light rain,-8.77,160.7,Auki Motel
623,Ahuimanu,US,84.2,overcast clouds,21.44,-157.84,Paradise Bay Resort
624,Alice Springs,AU,89.6,clear sky,-23.7,133.88,Desert Palms Alice Springs
627,San Cosme Y Damian,PY,82.4,scattered clouds,-27.32,-56.35,Posada Turística Aguapey
628,Road Town,VG,78.8,thunderstorm with light rain,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
632,Labuhan,ID,80.26,overcast clouds,-6.88,112.21,bador sepret
635,Cabedelo,BR,77.0,few clouds,-6.98,-34.83,Lua Mansa Pousada
637,Pauini,BR,76.75,heavy intensity rain,-7.71,-66.98,Casa do Kiwliks
641,Meulaboh,ID,76.8,overcast clouds,4.14,96.13,Kost Pria
643,Buala,SB,84.43,light rain,-8.14,159.59,Maringe Lagoon Lodge
644,Olinda,BR,80.6,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
645,Oistins,BB,80.6,shower rain,13.07,-59.53,Butterfly Beach Hotel
648,Mataram,ID,80.6,scattered clouds,-8.58,116.12,Hotel Santika Mataram
651,Charters Towers,AU,77.81,clear sky,-20.1,146.27,Cattleman's Rest Motor Inn
653,Inirida,CO,76.53,broken clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
657,Mandera,KE,79.23,clear sky,3.94,41.87,Kornesh Hotel and Lodging
658,Del Rio,US,80.6,clear sky,29.36,-100.9,Holiday Inn Express & Suites del Rio
659,Kloulklubed,PW,84.2,broken clouds,7.04,134.26,Storyboard Beach Resort
662,Qui Nhon,VN,77.18,light rain,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
663,Ciudad Bolivar,VE,84.22,broken clouds,8.12,-63.55,Hotel Edi
664,Nova Olinda Do Norte,BR,81.46,scattered clouds,-3.89,-59.09,Nova Olinda Palace Hotel
666,Katherine,AU,86.0,scattered clouds,-14.47,132.27,Pine Tree Motel
